City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Porto San Giorgio,IT,77.74,clear sky,43.1827,13.7934,David Palace Hotel
439,San Marcos,US,70.03,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
440,Timizart,DZ,76.08,clear sky,36.8,4.2667,yefssah restaurant
441,Palu,ID,83.93,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
442,Mujiayingzi,CN,73.76,overcast clouds,42.1167,118.7833,Jinjiang Hotel
443,Manati,PR,79.72,broken clouds,18.4275,-66.4921,Manati World Point Inn
444,Kendari,ID,78.28,light rain,-3.945,122.4989,Hotel Wixel
445,Hebi,CN,75.4,scattered clouds,35.8992,114.1925,Wangfu Hotel
455,Cairns,AU,75.15,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
459,Atambua,ID,80.08,broken clouds,-9.1061,124.8925,Kost Alfa Flat
460,Itacoatiara,BR,71.47,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
462,Vao,NC,71.15,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
463,Starkville,US,72.79,overcast clouds,33.4504,-88.8184,Hilton Garden Inn Starkville
465,Havelock,US,78.78,clear sky,34.8791,-76.9013,Sherwood Motel
467,Mumford,GH,77.05,overcast clouds,5.2618,-0.759,Spanish Villa
471,Nichinan,JP,76.68,overcast clouds,31.6,131.3667,Guest House Aki
472,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
479,Srandakan,ID,83.48,overcast clouds,-7.9386,110.2506,Puri Brata
480,Pizarro,CO,75.09,light rain,4.9533,-77.366,Hotel Limonar
482,Sabancuy,MX,75.81,clear sky,18.9667,-91.1833,pulpo
485,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Alize Plage
486,Vikhorevka,RU,78.39,scattered clouds,56.1201,101.1636,Pansionat Sosnovyye Rodniki
487,Kushima,JP,75.51,overcast clouds,31.4583,131.2333,Hanaoka
489,Luganville,VU,79.16,light rain,-15.5333,167.1667,The Espiritu Hotel
490,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
494,Turiacu,BR,72.99,scattered clouds,-1.6633,-45.3717,Pousada Maranata
495,Buk,PL,77.68,few clouds,52.3553,16.5196,Hotel i Restauracja Melodia
496,Celestun,MX,77.9,clear sky,20.8667,-90.4,Posada Lilia
498,Touros,BR,75.97,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
500,Papetoai,PF,76.59,light rain,-17.4961,-149.8729,Fare Vaihere
503,Souillac,MU,73.78,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
509,Bure,ET,72.64,broken clouds,10.7,37.0667,Holiday
511,Nara,JP,79.97,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
513,Alice Town,BS,82.06,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
519,Liku,ID,82.98,overcast clouds,-0.7275,119.8922,Wahyu
520,Kimbe,PG,81.23,light rain,-5.5502,150.1429,Kimbe Bay Hotel
521,Port Hedland,AU,80.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
522,Izumo,JP,73.29,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
524,Dodoma,TZ,71.35,clear sky,-6.1722,35.7395,Royal Village Hotel
529,Salvador,SV,71.06,overcast clouds,13.8333,-88.9167,Chico's Ranch
530,Caravelas,BR,71.17,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
531,Omegna,IT,76.68,scattered clouds,45.8798,8.408,Albergo Croce Bianca
536,Gizo,SB,82.98,few clouds,-8.103,156.8419,Imagination Island
542,Dongsheng,CN,74.35,clear sky,39.8161,109.9776,Crowne Plaza Ordos
544,San Patricio,US,84.06,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
546,Layou,VC,77.18,scattered clouds,13.2,-61.2667,Compton's Bed-&-Breakfast & Anchorage
548,Yichun,CN,80.46,overcast clouds,47.7,128.9,锦江酒店
550,Waingapu,ID,83.62,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
551,Hunchun,CN,72.25,overcast clouds,42.8675,130.3581,International Hotel
553,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
555,Galesong,ID,84.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
557,Uhlove,UA,78.03,overcast clouds,44.8215,33.6045,Tavryda
559,Magdagachi,RU,83.07,overcast clouds,53.45,125.8,Motopolyana Magdagachi
561,Rabaul,PG,84.02,light rain,-4.1967,152.1721,Rabaul Hotel
563,Moerai,PF,75.96,few clouds,-22.4333,-151.3333,Le Manotel
564,Tezu,IN,74.19,overcast clouds,27.9167,96.1667,Circuit House
565,Buchanan,LR,75.85,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
580,Ixtapa,MX,82.22,few clouds,20.7,-105.2,hotel la terminal
581,Hyeres,FR,78.66,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
582,Jiazi,CN,82.81,heavy intensity rain,22.8779,116.067,Hotel Jin Hao
585,Esperance,AU,70.74,scattered clouds,-33.8667,121.9,Hospitality Esperance
586,Cherskiy,RU,70.2,few clouds,68.75,161.3,Gostinitsa
587,Manono,CD,80.1,few clouds,-7.3,27.4167,Hotel hewa bora
593,Calderitas,MX,79.16,clear sky,18.55,-88.25,Hotel Hacienda Campestre
