City_ID,City,Country,Lat,Lng,Max Temp,Humidity (%),Cloudiness (%),Wind Speed,Current Description
104,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,24.16,few clouds
105,Cidreira,BR,-30.1811,-50.2056,45.81,69,0,22.21,clear sky
106,Puerto Ayora,EC,-0.7393,-90.3518,70.56,97,99,6.6,overcast clouds
107,Cabo San Lucas,MX,22.8909,-109.9124,80.62,70,0,13.02,clear sky
108,Punta Arenas,CL,-53.15,-70.9167,48.31,76,0,14.97,clear sky
109,Leningradskiy,RU,69.3833,178.4167,37.71,65,23,6.89,few clouds
110,Dalvik,IS,65.9702,-18.5286,44.53,96,100,4.7,overcast clouds
111,Rocha,UY,-34.4833,-54.3333,46.76,82,5,12.39,clear sky
112,Hermanus,ZA,-34.4187,19.2345,56.8,48,100,7.47,overcast clouds
113,Isangel,VU,-19.55,169.2667,78.91,89,86,3.44,light rain
114,Bloomfield,US,40.8068,-74.1854,66.85,77,0,9.22,clear sky
115,Ahuimanu,US,21.4447,-157.8378,78.51,73,40,13.8,scattered clouds
116,Ponta Do Sol,PT,32.6667,-17.1,70.0,73,1,1.9,clear sky
117,Vardo,NO,70.3705,31.1107,58.98,77,40,16.11,scattered clouds
118,Vaini,TO,-21.2,-175.2,77.16,88,75,6.91,broken clouds
119,Sinnamary,GF,5.3833,-52.95,76.06,87,99,4.41,overcast clouds
120,Chimore,BO,-16.9833,-65.1333,54.32,96,1,0.43,clear sky
121,Luangwa,ZM,-15.6167,30.4167,66.15,70,97,3.31,overcast clouds
122,Saskylakh,RU,71.9167,114.0833,70.09,29,18,4.9,few clouds
123,Krasnyy Chikoy,RU,50.3643,108.7512,74.66,33,28,12.71,scattered clouds
124,Katsuura,JP,35.1333,140.3,71.62,73,79,10.94,light rain
125,Beloha,MG,-25.1667,45.05,74.17,55,0,13.04,clear sky
126,Lukovetskiy,RU,64.2956,41.9211,64.26,43,100,6.22,overcast clouds
127,Isla Aguada,MX,18.7833,-91.4667,80.35,76,0,15.73,clear sky
128,Matara,LK,5.9485,80.5353,82.94,77,99,11.54,overcast clouds
129,Cozumel,MX,20.5083,-86.9458,74.95,91,0,7.4,clear sky
130,Grindavik,IS,63.8424,-22.4338,48.67,87,100,5.75,overcast clouds
131,Lavrentiya,RU,65.5833,-171.0,36.88,66,100,13.29,overcast clouds
132,Cam Ranh,VN,11.9214,109.1591,94.96,52,20,13.8,few clouds
133,Tiksi,RU,71.6872,128.8694,40.21,73,64,9.93,broken clouds
134,Paramonga,PE,-10.6667,-77.8333,62.35,85,77,6.44,broken clouds
135,Batabano,CU,22.7164,-82.2881,74.01,81,1,3.51,clear sky
136,Walvis Bay,NA,-22.9575,14.5053,67.15,37,0,14.97,clear sky
137,Clyde River,CA,70.4692,-68.5914,30.43,100,100,12.66,overcast clouds
138,Altamira,BR,-3.2033,-52.2064,69.75,99,89,1.48,overcast clouds
139,Charlestown,AU,-32.95,151.6667,63.1,53,4,5.01,clear sky
140,Duekoue,CI,6.7472,-7.3496,71.29,98,100,1.86,overcast clouds
141,Margherita,IN,27.2833,95.6833,83.59,88,83,2.68,broken clouds
142,Arona,ES,28.0996,-16.681,67.82,77,20,6.91,few clouds
143,Mar Del Plata,AR,-38.0023,-57.5575,41.95,94,0,3.44,fog
144,Fortuna,US,40.5982,-124.1573,62.92,91,100,3.0,overcast clouds
145,Inhambane,MZ,-23.865,35.3833,67.98,77,40,4.61,scattered clouds
146,Lasa,IT,46.6166,10.7002,63.36,40,0,3.8,clear sky
147,Sukhobuzimskoye,RU,56.5,93.2728,80.96,53,100,6.31,overcast clouds
148,Babu,CN,24.4167,111.5167,76.73,98,100,4.27,overcast clouds
149,Conde,BR,-7.2597,-34.9075,71.06,100,0,0.0,clear sky
150,Carnarvon,AU,-24.8667,113.6333,73.56,56,0,9.35,clear sky
151,Radstadt,AT,47.3833,13.45,62.37,58,0,2.84,clear sky
152,Hamilton,US,39.1834,-84.5333,68.76,93,100,3.44,heavy intensity rain
153,Taoudenni,ML,22.6783,-3.9836,91.53,33,4,14.27,clear sky
154,Haverfordwest,GB,51.8017,-4.9691,54.99,86,16,1.01,few clouds
155,Bereda,ES,43.2686,-7.5406,61.41,98,100,7.58,overcast clouds
156,Nibe,DK,56.9815,9.6392,62.01,88,20,16.11,few clouds
157,East London,ZA,-33.0153,27.9116,72.54,30,0,12.66,clear sky
158,Komsomolskiy,UZ,40.4272,71.7189,79.52,38,62,11.5,broken clouds
159,Rundu,NA,-17.9333,19.7667,60.1,50,0,8.01,clear sky
160,Kailua,US,21.4022,-157.7394,78.78,77,40,13.8,scattered clouds
161,Mount Gambier,AU,-37.8333,140.7667,51.71,87,100,12.66,drizzle
162,Huancavelica,PE,-12.7667,-74.9833,31.64,94,66,0.89,broken clouds
163,Port-Gentil,GA,-0.7193,8.7815,76.96,94,100,2.3,overcast clouds
164,Ihiala,NG,5.8538,6.8603,73.56,91,70,1.88,broken clouds
165,Sao Filipe,CV,14.8961,-24.4956,73.26,82,19,7.14,few clouds
166,Tasiilaq,GL,65.6145,-37.6368,39.36,76,100,5.14,overcast clouds
167,Chokwe,MZ,-24.5333,32.9833,67.33,67,0,4.18,clear sky
168,Shingu,JP,33.7333,135.9833,76.5,62,5,6.08,clear sky
