City_ID,City,Country,Lat,Lng,Max Temp,Humidity (%),Cloudiness (%),Wind Speed,Current Description
121,Inhambane,MZ,-23.865,35.3833,65.97,78,36,5.14,scattered clouds
122,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,75,11.5,moderate rain
123,Pacific Grove,US,36.6177,-121.9166,69.46,87,35,1.01,scattered clouds
124,Boguchany,RU,58.3814,97.4531,78.71,31,95,8.88,overcast clouds
125,Zelenogorsk,RU,56.1147,94.5861,71.58,69,100,4.27,light rain
126,Thinadhoo,MV,0.5333,72.9333,83.32,72,100,8.5,overcast clouds
127,Zelenogorskiy,RU,55.0333,87.0,75.15,63,94,8.23,overcast clouds
128,Copiapo,CL,-27.3667,-70.3333,49.69,58,0,1.48,clear sky
129,Sur,OM,22.5667,59.5289,88.2,68,2,3.67,clear sky
130,Bunia,CD,1.5667,30.25,62.29,93,91,2.17,light rain
131,Samarai,PG,-10.6167,150.6667,82.18,76,34,7.81,scattered clouds
132,Airai,TL,-8.9266,125.4092,71.06,56,27,3.74,scattered clouds
133,Venancio Aires,BR,-29.6064,-52.1919,43.25,70,0,6.87,clear sky
134,Santa Rosalia,MX,27.3167,-112.2833,81.72,47,6,4.85,clear sky
135,Puerto Madero,MX,14.7208,-92.4215,79.3,80,95,5.23,overcast clouds
136,Balikpapan,ID,-1.2675,116.8289,79.18,83,100,3.83,light rain
137,Norman Wells,CA,65.282,-126.8329,51.84,87,75,16.11,broken clouds
138,Sinazongwe,ZM,-17.2614,27.4618,57.02,80,0,4.61,clear sky
139,Narsaq,GL,60.9167,-46.05,44.89,88,100,4.03,light rain
140,Ahuimanu,US,21.4447,-157.8378,81.54,71,20,16.11,few clouds
141,Urmary,RU,55.6789,47.944,52.05,67,3,10.8,clear sky
142,Goundam,ML,16.4145,-3.6708,88.99,35,19,17.9,few clouds
143,Yambio,SS,4.5721,28.3955,64.92,97,62,3.65,broken clouds
144,Namatanai,PG,-3.6667,152.4333,85.03,66,67,11.07,broken clouds
145,Saldanha,ZA,-33.0117,17.9442,55.45,82,90,14.45,overcast clouds
146,Dudinka,RU,69.4058,86.1778,70.63,29,100,11.48,overcast clouds
147,Klyuchi,RU,52.2667,79.1667,78.37,31,53,12.12,broken clouds
148,Springbok,ZA,-29.6643,17.8865,53.65,32,80,6.49,broken clouds
149,Son La,VN,21.3167,103.9,80.42,72,99,2.04,overcast clouds
150,Charters Towers,AU,-20.1,146.2667,68.14,30,84,9.22,broken clouds
151,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,3.44,broken clouds
152,Padang,ID,-0.9492,100.3543,80.65,74,100,4.74,overcast clouds
153,Abu Dhabi,AE,24.4667,54.3667,85.96,68,0,5.75,clear sky
154,Avarua,CK,-21.2078,-159.775,76.84,67,15,15.82,few clouds
155,Umm Kaddadah,SD,13.6017,26.6876,83.35,43,88,7.05,overcast clouds
156,Makakilo City,US,21.3469,-158.0858,80.35,60,40,11.5,scattered clouds
157,Patnos,TR,39.2336,42.8634,50.23,52,49,2.37,scattered clouds
158,Torbay,CA,47.6666,-52.7314,57.88,82,75,19.57,broken clouds
159,Deputatskiy,RU,69.3,139.9,62.42,33,34,19.37,scattered clouds
160,Butaritari,KI,3.0707,172.7902,82.22,74,22,10.85,few clouds
161,Daru,PG,-9.0763,143.2092,78.67,88,100,17.0,light rain
162,Vao,NC,-22.6667,167.4833,70.56,80,100,13.0,overcast clouds
163,Fort Nelson,CA,58.8053,-122.7002,63.99,34,75,13.8,shower rain
164,Hasaki,JP,35.7333,140.8333,73.29,79,78,19.1,broken clouds
165,Hambantota,LK,6.1241,81.1185,85.1,67,100,18.03,overcast clouds
166,Arlit,NE,18.7369,7.3853,85.14,31,100,3.33,overcast clouds
167,Nicoya,CR,10.1483,-85.452,71.91,98,100,4.45,overcast clouds
168,Umm Lajj,SA,25.0213,37.2685,88.41,35,1,7.16,clear sky
169,Totma,RU,59.9747,42.7642,53.6,55,21,4.09,few clouds
170,Pemangkat,ID,1.1667,108.9667,83.98,70,84,3.85,broken clouds
171,Karaton,ID,-6.3424,106.1045,85.98,62,93,0.72,overcast clouds
172,Mayumba,GA,-3.432,10.6554,73.54,92,0,3.74,clear sky
173,Korla,CN,41.7597,86.1469,90.75,12,4,13.42,clear sky
174,Ukiah,US,39.1502,-123.2078,78.69,53,0,8.05,clear sky
175,Tarko-Sale,RU,64.9225,77.785,66.81,51,100,9.8,overcast clouds
176,Poronaysk,RU,49.2167,143.1167,49.64,86,88,9.19,overcast clouds
177,Eau Claire,US,44.8114,-91.4985,66.58,86,0,5.75,clear sky
178,Chuy,UY,-33.6971,-53.4616,42.48,68,32,13.42,scattered clouds
179,Sabang,ID,5.8933,95.3214,82.76,72,100,10.51,overcast clouds
180,Boyolangu,ID,-8.1181,111.8935,84.54,70,96,2.71,overcast clouds
181,Champerico,GT,14.3,-91.9167,79.7,79,97,0.18,overcast clouds
182,Bambanglipuro,ID,-7.95,110.2833,84.45,71,99,4.21,overcast clouds
183,Sambava,MG,-14.2667,50.1667,69.96,77,80,11.52,broken clouds
184,Paracuru,BR,-3.41,-39.0306,76.1,88,40,5.19,scattered clouds
185,Anadyr,RU,64.75,177.4833,41.5,70,20,15.66,few clouds
186,Wollongong,AU,-34.4333,150.8833,64.08,51,5,17.49,clear sky
187,Naze,JP,28.3667,129.4833,79.72,78,91,2.66,overcast clouds
188,Sao Jose Dos Campos,BR,-23.1794,-45.8869,54.7,94,96,0.67,overcast clouds
189,Krasnyy Klyuch,RU,55.3863,56.6529,47.1,87,100,7.61,overcast clouds
