City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Mehamn,NO,2022-06-11 19:42:15,71.0357,27.8492,46.31,84,100,7.0
161,Labuan,MY,2022-06-11 19:42:16,5.2767,115.2417,79.16,94,40,0.0
162,Palimbang,PH,2022-06-11 19:42:16,6.2106,124.1894,77.74,85,100,4.36
163,Champerico,GT,2022-06-11 19:42:16,14.3,-91.9167,88.34,70,100,7.0
164,Eyrarbakki,IS,2022-06-11 19:42:17,63.863,-21.1481,54.21,70,100,16.93
165,Mlonggo,ID,2022-06-11 19:42:17,-6.5333,110.7,78.51,84,85,3.96
166,Port Blair,IN,2022-06-11 19:42:17,11.6667,92.75,80.64,89,40,2.3
167,Requena,ES,2022-06-11 19:42:18,39.4883,-1.1004,69.51,57,0,5.91
168,Necochea,AR,2022-06-11 19:41:15,-38.5473,-58.7368,49.1,67,0,6.42
169,San Patricio,US,2022-06-11 19:42:18,28.017,-97.5169,100.08,31,1,18.16
170,Kokopo,PG,2022-06-11 19:42:19,-4.352,152.2633,75.45,84,3,4.29
171,Ancud,CL,2022-06-11 19:37:11,-41.8697,-73.8203,49.84,82,100,8.86
172,Rhondda,GB,2022-06-11 19:42:19,51.659,-3.4489,58.17,78,62,13.96
173,Fairbanks,US,2022-06-11 19:39:37,64.8378,-147.7164,64.02,54,0,4.61
174,Aklavik,CA,2022-06-11 19:42:19,68.2191,-135.0107,37.4,87,100,12.66
175,Kahului,US,2022-06-11 19:43:20,20.8947,-156.47,84.22,65,20,20.71
176,Carnarvon,AU,2022-06-11 19:43:20,-24.8667,113.6333,70.32,67,0,11.88
177,Plettenberg Bay,ZA,2022-06-11 19:43:21,-34.0527,23.3716,77.0,23,100,20.87
178,Tarauaca,BR,2022-06-11 19:43:21,-8.1614,-70.7656,73.8,71,100,3.78
179,Morondava,MG,2022-06-11 19:43:22,-20.2833,44.2833,71.13,65,0,10.83
180,Kankaanpaa,FI,2022-06-11 19:43:22,61.8,22.4167,63.36,79,49,9.31
181,Tateyama,JP,2022-06-11 19:43:22,34.9833,139.8667,66.13,82,75,9.22
182,Portland,US,2022-06-11 19:43:19,45.5234,-122.6762,67.8,85,75,5.01
183,Broken Hill,AU,2022-06-11 19:43:23,-31.95,141.4333,42.44,91,0,7.94
184,Rovaniemi,FI,2022-06-11 19:43:23,66.5,25.7167,60.21,94,75,9.22
185,Myanaung,MM,2022-06-11 19:43:24,18.2833,95.3167,78.75,83,31,7.87
186,Popondetta,PG,2022-06-11 19:43:24,-8.7537,148.2534,72.39,90,100,2.89
187,Jishou,CN,2022-06-11 19:43:24,28.3167,109.7167,67.24,94,100,2.98
188,Riyadh,SA,2022-06-11 19:40:42,24.6877,46.7219,95.14,12,0,11.79
189,Takoradi,GH,2022-06-11 19:43:25,4.8845,-1.7554,77.99,79,100,9.37
190,Los Llanos De Aridane,ES,2022-06-11 19:43:25,28.6585,-17.9182,67.75,91,20,13.8
191,Talara,PE,2022-06-11 19:43:25,-4.5772,-81.2719,74.16,64,40,14.97
192,Namatanai,PG,2022-06-11 19:43:26,-3.6667,152.4333,78.19,80,3,6.8
193,Khatanga,RU,2022-06-11 19:43:26,71.9667,102.5,46.15,68,79,9.15
194,Yantal,RU,2022-06-11 19:43:26,56.8471,105.2542,52.41,67,95,2.21
195,Karratha,AU,2022-06-11 19:43:27,-20.7377,116.8463,72.19,79,2,7.99
196,Constitucion,CL,2022-06-11 19:43:27,-35.3333,-72.4167,58.77,53,31,3.6
197,Arraial Do Cabo,BR,2022-06-11 19:43:27,-22.9661,-42.0278,66.16,88,100,4.61
198,Bratsk,RU,2022-06-11 19:43:28,56.1325,101.6142,55.89,57,40,0.18
199,Adrar,MR,2022-06-11 19:43:28,20.5022,-10.0711,100.11,9,91,6.69
